itm_mstr_key,sys_cd,itm_srt_id,itm_id,itm_db_id,itm_shrt_label,itm_sect_srt_id,itm_sect_label,itm_grp_cd,itm_loinc_id,itm_type_cd,fixed_rec_srt_id,fixed_rec_strt_byte,fixed_rec_end_byte,fixed_strt_end_bytes,fixed_rec_lngth,itm_vrsn_notes,isc_active,isc_inactive,isc_01,isc_03,isc_04,isc_05,isc_06,isc_07,isc_08,isc_09,isc_XX
1,OASIS,50,ASMT_SYS_CD,ASMT_SYS_CD,Assessment system code,01,Control,Control,,Code,50,1,10,1-10,10,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
2,OASIS,150,ITM_SBST_CD,HHA_ITM_SBST_CD,Item subset code,01,Control,Control,,Code,150,12,14,12-14,3,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
3,OASIS,200,ITM_SET_VRSN_CD,ITM_SET_VRSN_CD,Item set version code,01,Control,Control,,Code,200,15,24,15-24,10,[V2.12.0]-Added ending date for C1-012015 and added [C1-102015] to value list.,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
4,OASIS,250,SPEC_VRSN_CD,SPEC_VRSN_CD,Specifications version code,01,Control,Control,,Code,250,25,34,25-34,10,"[V2.12.0]-Added ending date for V2.11, and added [2.12] to value list.","01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
5,OASIS,300,CORRECTION_NUM,CRCTN_NUM,Correction number,01,Control,Control,,Number,300,35,36,35-36,2,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
7,OASIS,350,STATE_CD,STATE_CD,Agency's state postal code,01,Control,Control,,Code,350,37,38,37-38,2,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
8,OASIS,400,HHA_AGENCY_ID,HHA_AGNCY_ID,Assigned agency submission ID,01,Control,Control,,Text,400,39,54,39-54,16,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
9,OASIS,500,SFW_ID,SFTWR_VNDR_ID,Software vendor federal employer tax ID,01,Control,Control,,Text,500,65,73,65-73,9,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
10,OASIS,550,SFW_NAME,SFTWR_VNDR_NAME,Software vendor company name,01,Control,Control,,Text,550,74,103,74-103,30,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
11,OASIS,600,SFW_EMAIL_ADR,SFTWR_VNDR_EMAIL_ADR,Software vendor email address,01,Control,Control,,Text,600,104,153,104-153,50,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
12,OASIS,650,SFW_PROD_NAME,SFTWR_PROD_NAME,Software product name,01,Control,Control,,Text,650,154,203,154-203,50,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
13,OASIS,700,SFW_PROD_VRSN_CD,SFTWR_PROD_VRSN_CD,Software product version code,01,Control,Control,,Text,700,204,223,204-223,20,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
14,OASIS,450,NATL_PRVDR_ID,NATL_PRVDR_ID,Agency National Provider ID (NPI),01,Control,Control,,Text,450,55,64,55-64,10,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
15,OASIS,750,ACY_DOC_CD,AGNCY_DOC_CD,Document ID code (agency use),01,Control,Control,,Text,750,224,243,224-243,20,,"01,03,04,05,06,07,08,09,XX",,x,x,x,x,x,x,x,x,x
16,OASIS,100000,CONTROL_ITEMS_FILLER,,Control items filler,03,Filler,Filler,,Filler,90000,1061,1260,1061-1260,200,,,"01,03,04,05,06,07,08,09,XX",,,,,,,,,
17,OASIS,1500,M0010_CCN,CMS_CRTFCTN_NUM,Facility CMS certification number (CCN),02,Asmt,Asmt,,Text,1500,254,259,254-259,6,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
18,OASIS,1600,M0014_BRANCH_STATE,BRNCH_STATE_CD,Branch state,02,Asmt,Asmt,,Code,1600,260,261,260-261,2,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
19,OASIS,1700,M0016_BRANCH_ID,BRNCH_ID,Branch ID,02,Asmt,Asmt,,Text,1700,262,271,262-271,10,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
20,OASIS,1800,M0018_PHYSICIAN_ID,NPI_NUM,Attending physician National Provider ID (NPI),02,Asmt,Asmt,,Text,1800,272,281,272-281,10,,"01,03,04,05,06,07,08,09",XX,x,x,x,x,x,x,x,x,
